gold_label,sentence1,sentence2
contradiction,A little girl with a hat sits between a woman's feet in the sand in front of a pair of colorful tents.,The girl and woman are inside.
neutral,"A group of youths, one wearing a t-shirt labeled ""L.A. City Lounge South"", are working on a craft project that involves the use of flour.", A group of youths are baking some delicious brownies.
neutral,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front.,A race car driver is racing in a big racing championship.
contradiction,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand.",A woman wearing a green shirt eats at the table.
entailment,A man is on the side of a mountain and hiking around huge rocks.,A man is outdoors hiking.
neutral,A shopper buys cat food at a Walmart,A homeless person buys cat food for dinner at Walmart.
neutral,A jockey in blue gallops a chestnut horse on a dirt track past a wooden fence.,A jockey races his horse
contradiction,Three men pose for a picture while standing in front of table at a conference.,the men are flying an airplane
entailment,Four people are in the process of creating colorful lanterns in their lantern shop.,The people are making lanterns.
contradiction,A person in a red hat with a huge backpack going hiking.,The guy in red is at home unpacking.
contradiction,Two men are cooking food together on the corner of the street.,The two men are running in a race.
neutral,A black dog leaps from the water near a wooded shoreline,dog leaping from a snake
entailment,"A woman dressed in a light yellow tank top, white pants, and sunglasses looks to her right as she is drinking a bottle of water.",A woman looks to the side.
neutral,A man reclining with his feet up on the desk.,A man is relaxing with his feet up and his eyes closed.
neutral,A woman is sitting at a desk near to a window that has a huge picture of a hand painted on it.,A tall person sitting
neutral,Two children standing in the grass being sprayed by a hose.,Two children are playing with water in the yard
contradiction,"There are two men playing college basketball, one in light blue and one in white, and fans are looking on.",Women are talking
entailment,Several people are wading in a river in a deep gorge.,Several people are playing in the water.
contradiction,The girl is swinging on a rope over a small pond.,A girl is swinging on a tire swing.
contradiction,"A man drives a motorcycle, with a woman in an orange sari and a young girl in a blue dress riding in the backseat.",A young girl in a pink tutu is driving a motorcycle.
contradiction,A bearded man wearing a blue shirt is playing an acoustic guitar.,The man is playing the drums
contradiction,A man wearing a yellow striped shirt laughs while seated next to another man who is wearing a light blue shirt and clasping his hands together.,Two mimes sit in complete silence.
entailment,A marching band of kids while at a rodeo.,There is a group of kids.
contradiction,I think this lady is waiting for a cab.,The lady is taking a nap.
contradiction,A middle-aged man's shaving his beard in a room with white walls which does n't look like a bathroom.,a man sleeps
entailment,A boy walking away from two Camden tents with a group of people behind him.,A person walking away from a tent
entailment,People sit around tables watching intently under a cloth covering.,People sit around tables under canopies.
entailment,Several dancers are doing leg lifts on stage.,Performers are doing a show at an event.
neutral,"A woman in white and a man in black, with an earring, are kissing.",A woman kisses her fiance.
contradiction,Sidewalk flower cart vendor.,Vendor baking a cake.
contradiction,A man holding a sleeping child walks with a woman.,Two men carry their sleeping dog down the road
neutral,A busy kitchen preparing for the afternoon rush.,They are making lunch.
entailment,A dog plays with a ball at the beach.,A dog plays ball.
neutral,Children walk in the city.,The city is huge
entailment,A guy on a waterskiing board is doing a stunt.,The guy is doing a stunt.
entailment,Many people have painted faces at night.,There are at least 2 people.
contradiction,A young boy reaches for and touches the propeller of a vintage aircraft.,A young boy swims in his pool.
neutral,"Many people are in a cafeteria or restaurant, there are two workers wearing white and black who are taking their orders.",A restaurant gets slammed for dinner and has two waiters working that day.
